PWS.ID,Primary.Source,Service.Connections.Count,Longitude,Latitude,Population.2016,Population.2021,Population.Change,Maximum.contaminant.levels.violation,Treatment.technique.violation,Health.violation,Monitoring.and.reporting.violation,SAFER.STATUS
CA2010005,Ground water,1902,-119.7736844325172,37.18455493989541,5921,6224,0.05117378821145077,6.0,0.0,6.0,2.0,Failing
CA4900846,Ground water,16,-122.67502009445272,38.5003944096298,55,25,-0.5454545454545454,0.0,0.0,0.0,0.0,Potentially At-Risk
CA4901355,Ground water,16,-122.61080330487788,38.31819894666752,45,60,0.3333333333333333,0.0,0.0,0.0,0.0,Not At-Risk
CA1009222,Surface water,12,-120.1047239963822,36.31281762358659,40,40,0.0,7.0,0.0,7.0,0.0,Potentially At-Risk
CA1400518,Ground water,15,-118.35746958925174,37.35931052981114,30,25,-0.16666666666666666,0.0,0.0,0.0,2.0,Not At-Risk
CA1610006,Ground water,364,-119.82011849448337,36.18362644038509,1301,1277,-0.018447348193697154,0.0,0.0,0.0,0.0,Not At-Risk
CA4010830,Surface water,12,-120.69893451993174,35.32392318694763,15000,15000,0.0,0.0,0.0,0.0,0.0,Not At-Risk
CA4010012,Surface water,1954,-120.86695689482058,35.73105908198646,3428,2981,-0.13039673278879813,5.0,0.0,5.0,0.0,Failing
CA4010832,Ground water,875,-120.63430854944215,35.46368619150056,2500,4128,0.6512,0.0,0.0,0.0,0.0,Not At-Risk
CA4010010,Ground water,923,-120.6900778298915,35.7534009270999,2336,2600,0.11301369863013698,0.0,0.0,0.0,0.0,Potentially At-Risk
CA4210005,Ground water,278,-119.76375227108922,34.447801537634234,550,550,0.0,0.0,0.0,0.0,1.0,Not At-Risk
CA5400940,Ground water,49,-118.85160994575617,36.469504143771736,120,200,0.6666666666666666,0.0,0.0,0.0,0.0,Not At-Risk
CA1010023,Surface water,1705,-119.31858637584548,36.62132052298946,9780,9780,0.0,0.0,0.0,0.0,1.0,At-Risk
CA5610011,Ground water,7510,-119.0947866091317,34.341744592902444,30048,29321,-0.02419462193823216,0.0,0.0,0.0,2.0,Not At-Risk
CA1010501,Ground water,100,-118.91513379733294,36.68961526553333,2950,2950,0.0,0.0,0.0,0.0,2.0,Not At-Risk
CA5410503,Surface water,125,-118.7345163580679,36.59616787732265,40,2940,72.5,14.0,0.0,14.0,1.0,Failing
CA5410513,Ground water,45,-118.8322602580994,36.49043927356944,30,2930,96.66666666666667,0.0,0.0,0.0,0.0,Not At-Risk
CA3600260,Ground water,102,-117.13347890596955,34.20011795443452,530,530,0.0,0.0,0.0,0.0,0.0,Not At-Risk
CA3610048,Ground water,605,-117.33981018682265,34.07483498473551,2200,2000,-0.09090909090909091,0.0,0.0,0.0,1.0,Not At-Risk
CA1500404,Ground water,42,-118.46676906547096,35.70782248783055,84,68,-0.19047619047619047,0.0,0.0,0.0,0.0,Not At-Risk
CA3010079,Purchased water,9541,-117.6845079456928,33.65101723040931,48628,58821,0.20961174631899318,0.0,0.0,0.0,0.0,Not At-Risk
CA4910017,Ground water,8965,-122.80360515970862,38.54310272539175,27486,28397,0.03314414611074729,0.0,0.0,0.0,0.0,Not At-Risk
CA3205001,Ground water,1107,-121.14264944728409,40.28329395271151,50,50,0.0,0.0,0.0,0.0,0.0,Potentially At-Risk
CA4310006,Ground water,14593,-121.64207061554848,37.13255485683071,41779,46454,0.1118983221235549,0.0,0.0,0.0,0.0,Not At-Risk
CA2702299,Ground water,58,-121.80182112877188,36.26049444086949,150,286,0.9066666666666666,0.0,0.0,0.0,0.0,Not At-Risk
CA0710006,Surface water,9970,-122.12182681675708,37.9961032846279,35375,35375,0.0,0.0,0.0,0.0,0.0,Not At-Risk
CA5500128,Ground water,53,-120.40418580642029,38.02498572486291,59,67,0.13559322033898305,0.0,0.0,0.0,0.0,Not At-Risk
CA1400072,Ground water,33,-118.07445986335544,36.61644977473733,70,70,0.0,0.0,0.0,0.0,3.0,Not At-Risk
CA1400037,Ground water,48,-118.0485319435692,36.544662626334144,60,60,0.0,19.0,0.0,19.0,4.0,Failing
CA2700687,Ground water,40,-121.62748998388231,36.78745826421957,120,120,0.0,0.0,0.0,0.0,0.0,Potentially At-Risk
CA2702198,Ground water,41,-121.55012286858896,36.66954959279597,183,183,0.0,0.0,0.0,0.0,0.0,Not At-Risk
CA4900640,Ground water,18,-123.06710881278248,38.49193178382353,40,40,0.0,0.0,36.0,36.0,0.0,At-Risk
CA2700674,Ground water,76,-121.70797110842317,36.81481289014389,180,180,0.0,0.0,0.0,0.0,0.0,Potentially At-Risk
CA2700579,Ground water,20,-121.72937766907582,36.83523035610461,60,60,0.0,0.0,0.0,0.0,0.0,Failing
CA4500194,Ground water,32,-122.3105832893928,41.30985811513336,100,90,-0.1,0.0,0.0,0.0,0.0,Not At-Risk
CA5400556,Ground water,25,-118.90921662535696,36.412070944165855,53,53,0.0,0.0,0.0,0.0,3.0,Potentially At-Risk
CA3710800,Ground water,6,-116.68314543455642,33.32426192492678,125,125,0.0,0.0,0.0,0.0,2.0,Not At-Risk
CA5310001,Surface water,1654,-122.9348138026439,40.72527835310419,3554,3400,-0.04333145751266179,0.0,0.0,0.0,1.0,Not At-Risk
CA5200570,Ground water,75,-122.20256105293905,40.218904327757215,145,145,0.0,0.0,0.0,0.0,0.0,Not At-Risk
CA3600027,Ground water,45,-116.86457917045988,34.451133004520884,260,260,0.0,2.0,0.0,2.0,1.0,Failing
CA2800527,Ground water,17,-122.44772331098278,38.55619606041672,35,35,0.0,0.0,0.0,0.0,0.0,Not At-Risk
CA5200548,Ground water,30,-122.24553025312376,40.18468489523476,75,85,0.13333333333333333,0.0,0.0,0.0,0.0,Not At-Risk
CA2300609,Ground water,31,-123.81284336246809,39.33902248173737,50,50,0.0,0.0,0.0,0.0,0.0,Not At-Risk
