k,max_intra_cluster_distance_km
958,173.13718354122707
959,173.13718354122707
960,173.13718354122707
961,173.13718354122707
962,173.13718354122707
963,173.13718354122707
964,173.13718354122707
965,173.13718354122707
966,173.13718354122707
967,173.13718354122707
968,173.13718354122707
969,173.13718354122707
970,173.13718354122707
971,173.13718354122707
972,173.13718354122707
973,173.13718354122707
974,173.13718354122707
975,173.13718354122707
976,173.13718354122707
977,173.13718354122707
978,173.13718354122707
979,173.13718354122707
980,173.13718354122707
981,173.13718354122707
982,173.13718354122707
983,173.13718354122707
984,173.13718354122707
985,173.13718354122707
986,173.13718354122707
987,173.13718354122707
988,173.13718354122707
989,173.13718354122707
990,173.13718354122707
991,173.13718354122707
992,173.13718354122707
993,173.13718354122707
994,173.13718354122707
995,173.13718354122707
996,173.13718354122707
997,173.13718354122707
998,173.13718354122707
999,173.13718354122707
1000,173.13718354122707
1001,173.13718354122707
1002,173.13718354122707
1003,173.13718354122707
1004,173.13718354122707
1005,173.13718354122707
1006,173.13718354122707
1007,173.13718354122707
1008,173.13718354122707
1009,173.13718354122707
1010,173.13718354122707
1011,173.13718354122707
1012,173.13718354122707
1013,173.13718354122707
1014,173.13718354122707
1015,173.13718354122707
1016,173.13718354122707
1017,173.13718354122707
1018,173.13718354122707
1019,173.13718354122707
1020,173.13718354122707
1021,173.13718354122707
1022,173.13718354122707
1023,173.13718354122707
1024,173.13718354122707
1025,173.13718354122707
1026,173.13718354122707
1027,173.13718354122707
1028,173.13718354122707
1029,173.13718354122707
1030,173.13718354122707
1031,173.13718354122707
1032,173.13718354122707
1033,173.13718354122707
1034,173.13718354122707
1035,173.13718354122707
1036,173.13718354122707
1037,173.13718354122707
1038,173.13718354122707
1039,173.13718354122707
1040,173.13718354122707
1041,173.13718354122707
1042,173.13718354122707
1043,173.13718354122707
1044,173.13718354122707
1045,173.13718354122707
1046,173.13718354122707
1047,173.13718354122707
1048,173.13718354122707
1049,173.13718354122707
1050,173.13718354122707
1051,173.13718354122707
1052,173.13718354122707
1053,173.13718354122707
1054,173.13718354122707
1055,173.13718354122707
1056,173.13718354122707
1057,173.13718354122707
1058,173.13718354122707
1059,173.13718354122707
1060,173.13718354122707
1061,173.13718354122707
1062,173.13718354122707
1063,173.13718354122707
1064,173.13718354122707
1065,173.13718354122707
1066,173.13718354122707
1067,173.13718354122707
1068,173.13718354122707
1069,173.13718354122707
1070,173.13718354122707
1071,173.13718354122707
1072,173.13718354122707
1073,173.13718354122707
1074,173.13718354122707
1075,173.13718354122707
1076,173.13718354122707
1077,173.13718354122707
1078,173.13718354122707
1079,173.13718354122707
1080,173.13718354122707
1081,173.13718354122707
1082,173.13718354122707
1083,173.13718354122707
1084,173.13718354122707
1085,173.13718354122707
1086,173.13718354122707
1087,173.13718354122707
1088,173.13718354122707
1089,173.13718354122707
1090,173.13718354122707
1091,173.13718354122707
1092,173.13718354122707
1093,173.13718354122707
1094,173.13718354122707
1095,173.13718354122707
1096,173.13718354122707
1097,173.13718354122707
1098,173.13718354122707
1099,173.13718354122707
1100,173.13718354122707
1101,173.13718354122707
1102,173.13718354122707
1103,173.13718354122707
1104,173.13718354122707
1105,173.13718354122707
1106,173.13718354122707
1107,173.13718354122707
1108,173.13718354122707
1109,173.13718354122707
1110,173.13718354122707
1111,173.13718354122707
1112,173.13718354122707
1113,173.13718354122707
1114,173.13718354122707
1115,173.13718354122707
1116,173.13718354122707
1117,173.13718354122707
1118,173.13718354122707
1119,173.13718354122707
1120,173.13718354122707
1121,173.13718354122707
1122,173.13718354122707
1123,173.13718354122707
1124,173.13718354122707
1125,173.13718354122707
1126,173.13718354122707
1127,173.13718354122707
1128,173.13718354122707
1129,173.13718354122707
1130,173.13718354122707
1131,173.13718354122707
1132,173.13718354122707
1133,173.13718354122707
1134,173.13718354122707
1135,173.13718354122707
1136,173.13718354122707
1137,173.13718354122707
1138,173.13718354122707
1139,173.13718354122707
1140,173.13718354122707
1141,173.13718354122707
1142,173.13718354122707
1143,173.13718354122707
1144,173.13718354122707
1145,173.13718354122707
1146,173.13718354122707
1147,173.13718354122707
1148,173.13718354122707
1149,173.13718354122707
1150,173.13718354122707
1151,173.13718354122707
1152,173.13718354122707
1153,173.13718354122707
1154,173.13718354122707
1155,173.13718354122707
1156,173.13718354122707
1157,173.13718354122707
1158,173.13718354122707
