PWS.ID,Primary.Source,Service.Connections.Count,Longitude,Latitude,Population.2016,Population.2021,Population.Change,Maximum.contaminant.levels.violation,Treatment.technique.violation,Health.violation,Monitoring.and.reporting.violation,SAFER.STATUS,Physical_Consolidation_Type,Physical_Cluster_Number,Managerial_Consolidation_Type,Managerial_Cluster_Number
CA4710009,Ground water,1110,-122.38153130996636,41.412991889076885,2963,2963,0.0,2.0,0.0,2.0,2.0,Not At-Risk,No_Consolidation,1225,Direct_Acquisition,572
CA4900641,Ground water,51,-123.07302371390811,38.50212234295597,100,100,0.0,0.0,0.0,0.0,0.0,Not At-Risk,Balanced_Merger,208,Balanced_Merger,137
CA2500503,Ground water,169,-120.73894803168496,41.302865010317696,300,300,0.0,0.0,0.0,0.0,0.0,Not At-Risk,No_Consolidation,1226,No_Consolidation,973
CA3710029,Surface water,22669,-117.1862359244983,33.04632145700195,63000,86997,0.3809047619047619,0.0,0.0,0.0,0.0,Not At-Risk,No_Consolidation,1227,Balanced_Merger,240
CA2300717,Ground water,55,-123.36782533194663,39.498234295122025,124,124,0.0,0.0,0.0,0.0,2.0,Potentially At-Risk,No_Consolidation,1228,No_Consolidation,974
CA4110018,Purchased water,6451,-122.4028261551494,37.60007279818798,21500,22795,0.0602325581395348,0.0,0.0,0.0,0.0,Not At-Risk,No_Consolidation,1229,Balanced_Merger,575
CA2710005,Ground water,1884,-121.74957688799589,36.763564901374416,7100,6897,-0.0285915492957746,0.0,0.0,0.0,0.0,Not At-Risk,No_Consolidation,1230,Balanced_Merger,123
CA3700922,Ground water,94,-116.33588327852743,32.69065317413351,300,300,0.0,0.0,0.0,0.0,0.0,At-Risk,No_Consolidation,1231,No_Consolidation,975
CA3700859,Ground water,110,-116.46620845046516,32.6148112824301,290,290,0.0,0.0,0.0,0.0,0.0,At-Risk,Balanced_Merger,42,Joint_Merger,61
CA3700968,Ground water,64,-116.949636198857,33.0849583839272,350,350,0.0,0.0,0.0,0.0,0.0,Not At-Risk,No_Consolidation,1232,No_Consolidation,976
CA1400109,Ground water,16,-118.3870016647238,37.28268882787984,35,45,0.2857142857142857,0.0,0.0,0.0,3.0,Failing,Balanced_Merger,22,Balanced_Merger,168
CA1500458,Ground water,24,-118.46319334812075,35.697336914992164,67,67,0.0,44.0,0.0,44.0,0.0,Failing,No_Consolidation,1233,Balanced_Merger,671
CA1400007,Ground water,215,-118.42749321229344,37.35037646043884,530,600,0.1320754716981132,0.0,0.0,0.0,2.0,Not At-Risk,Balanced_Merger,274,Balanced_Merger,117
CA0510010,Ground water,263,-120.82811058071,38.19331850160181,900,900,0.0,0.0,0.0,0.0,0.0,Not At-Risk,No_Consolidation,1234,Direct_Acquisition,697
CA4700541,Ground water,63,-122.31607781055897,41.30043664256607,55,55,0.0,0.0,0.0,0.0,0.0,Not At-Risk,Balanced_Merger,51,Direct_Acquisition,157
CA1710003,Surface water,2878,-122.63009833964968,38.9502139801767,6169,9494,0.5389852488247691,4.0,0.0,4.0,1.0,Failing,No_Consolidation,1235,Balanced_Merger,274
CA2000538,Ground water,67,-119.61976826568414,37.40266563045263,137,137,0.0,10.0,0.0,10.0,2.0,Failing,No_Consolidation,1236,Balanced_Merger,275
CA3910008,Ground water,848,-121.151126153166,38.15694847698183,2500,2500,0.0,0.0,0.0,0.0,0.0,Not At-Risk,Balanced_Merger,149,Balanced_Merger,226
CA3710013,Purchased water,6955,-116.92384358277218,32.87865848074852,42200,35500,-0.1587677725118483,0.0,0.0,0.0,1.0,Not At-Risk,No_Consolidation,1237,Balanced_Merger,685
CA4901071,Ground water,18,-122.67178998694676,38.26272951108072,51,60,0.1764705882352941,0.0,0.0,0.0,0.0,Not At-Risk,No_Consolidation,1238,Direct_Acquisition,653
CA2800526,Surface water,187,-122.38713236069025,38.70042458319798,454,476,0.0484581497797356,4.0,0.0,4.0,0.0,At-Risk,No_Consolidation,1239,No_Consolidation,977
CA2810013,Surface water,248,-122.18744070855024,38.51476165096229,918,938,0.0217864923747276,18.0,0.0,18.0,1.0,Potentially At-Risk,No_Consolidation,1240,No_Consolidation,978
CA1907028,Ground water,73,-118.30457425070216,34.51475490743787,211,211,0.0,0.0,0.0,0.0,0.0,At-Risk,No_Consolidation,1241,Balanced_Merger,619
CA2702405,Ground water,26,-121.65323703309066,36.398756946843584,56,56,0.0,8.0,0.0,8.0,0.0,Failing,Balanced_Merger,272,Balanced_Merger,166
CA3601036,Ground water,56,-116.79940638010648,34.904456156195906,150,150,0.0,0.0,0.0,0.0,0.0,Potentially At-Risk,No_Consolidation,1242,No_Consolidation,979
CA3601010,Ground water,59,-116.71119284125976,34.92625434451225,213,213,0.0,0.0,0.0,0.0,1.0,Not At-Risk,No_Consolidation,1243,No_Consolidation,980
CA3600089,Ground water,79,-116.88625861919355,34.44053326750489,325,325,0.0,0.0,0.0,0.0,1.0,Not At-Risk,No_Consolidation,1244,Balanced_Merger,112
CA3600388,Ground water,28,-117.1194789778922,34.90616193040178,130,130,0.0,0.0,0.0,0.0,3.0,Failing,No_Consolidation,1245,Balanced_Merger,520
CA3600108,Ground water,11,-117.40506871135156,34.205877298429634,10000,1647,-0.8353,0.0,0.0,0.0,0.0,Not At-Risk,Balanced_Merger,100,Balanced_Merger,351
CA3600215,Ground water,1,-117.29532125075188,34.09908203462818,1000,1000,0.0,0.0,0.0,0.0,0.0,Not At-Risk,No_Consolidation,1246,Direct_Acquisition,444
CA3600397,Ground water,43,-116.82621209262658,34.43855582623706,215,290,0.3488372093023256,0.0,0.0,0.0,1.0,At-Risk,No_Consolidation,1247,Balanced_Merger,112
CA3600385,Ground water,19,-117.08331872146704,34.07264276091157,65,65,0.0,0.0,0.0,0.0,0.0,Failing,Balanced_Merger,256,Direct_Acquisition,491
CA3410021,Surface water,10672,-121.2276155024921,38.70063561071353,33792,29641,-0.1228397253787878,0.0,0.0,0.0,0.0,Not Assessed,No_Consolidation,1248,Balanced_Merger,384
CA2610700,Ground water,30,-119.51674600010683,38.3572203545296,300,1200,3.0,0.0,0.0,0.0,0.0,Not At-Risk,No_Consolidation,1249,No_Consolidation,981
CA2610701,Ground water,116,-119.51835447430776,38.58793456653664,325,325,0.0,0.0,0.0,0.0,0.0,At-Risk,No_Consolidation,1250,Balanced_Merger,742
CA3210003,Purchased water,1153,-120.46740411307492,39.80939678809936,2500,1970,-0.212,0.0,0.0,0.0,0.0,Not At-Risk,No_Consolidation,1251,Balanced_Merger,611
