Distance_km,Joint_Merger_Total,Joint_Merger_Health_Violation,Joint_Merger_Monitoring_Violation,Joint_Merger_Decreasing_Population,Joint_Merger_SAFER_Failing,Balanced_Merger_Total,Balanced_Merger_Health_Violation,Balanced_Merger_Monitoring_Violation,Balanced_Merger_Decreasing_Population,Balanced_Merger_SAFER_Failing,Direct_Acquisition_Total,Direct_Acquisition_Health_Violation,Direct_Acquisition_Monitoring_Violation,Direct_Acquisition_Decreasing_Population,Direct_Acquisition_SAFER_Failing,No_Consolidation_Total,No_Consolidation_Health_Violation,No_Consolidation_Monitoring_Violation,No_Consolidation_Decreasing_Population,No_Consolidation_SAFER_Failing,Total_Systems,Total_Consolidation,Total_Health_Violation,Total_Monitoring_Violation,Total_Decreasing_Population,Total_SAFER_Failing
84,1809,66,335,283,103,762,272,364,107,174,167,60,83,33,29,9,2,4,2,3,2747,2738,400,786,425,309
85,1809,66,335,283,103,762,272,364,107,174,167,60,83,33,29,9,2,4,2,3,2747,2738,400,786,425,309
86,1809,66,335,283,103,762,272,364,107,174,167,60,83,33,29,9,2,4,2,3,2747,2738,400,786,425,309
87,1809,66,335,283,103,765,273,364,107,174,165,59,83,33,29,8,2,4,2,3,2747,2739,400,786,425,309
88,1809,66,335,283,103,765,273,364,107,174,165,59,83,33,29,8,2,4,2,3,2747,2739,400,786,425,309
89,1809,66,335,283,103,765,273,364,107,174,165,59,83,33,29,8,2,4,2,3,2747,2739,400,786,425,309
90,1809,66,335,283,103,767,274,366,107,174,163,58,81,33,29,8,2,4,2,3,2747,2739,400,786,425,309
91,1809,66,335,283,103,767,274,366,107,174,163,58,81,33,29,8,2,4,2,3,2747,2739,400,786,425,309
92,1809,66,335,283,103,767,274,366,107,174,164,58,82,33,29,7,2,3,2,3,2747,2740,400,786,425,309
93,1809,66,335,283,103,768,274,366,108,174,164,58,82,33,29,6,2,3,1,3,2747,2741,400,786,425,309
94,1809,66,335,283,103,769,274,366,108,174,164,58,82,33,29,5,2,3,1,3,2747,2742,400,786,425,309
95,1809,66,335,283,103,769,274,366,108,174,164,58,82,33,29,5,2,3,1,3,2747,2742,400,786,425,309
96,1809,66,335,283,103,769,274,366,108,174,164,58,82,33,29,5,2,3,1,3,2747,2742,400,786,425,309
97,1809,66,335,283,103,779,278,371,110,177,154,54,77,31,26,5,2,3,1,3,2747,2742,400,786,425,309
98,1809,66,335,283,103,779,278,371,110,177,154,54,77,31,26,5,2,3,1,3,2747,2742,400,786,425,309
99,1809,66,335,283,103,779,278,371,110,177,154,54,77,31,26,5,2,3,1,3,2747,2742,400,786,425,309
100,1809,66,335,283,103,779,278,371,110,177,154,54,77,31,26,5,2,3,1,3,2747,2742,400,786,425,309
101,1809,66,335,283,103,773,276,368,109,176,160,56,80,32,27,5,2,3,1,3,2747,2742,400,786,425,309
102,1809,66,335,283,103,773,276,368,109,176,160,56,80,32,27,5,2,3,1,3,2747,2742,400,786,425,309
